28, boulder,   nikodemus,  openshift,      haproxy,        bldr1cuomokdhap1,    br0,   52:54:00:9B:65:1C,   192.168.1.77,   24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
29, boulder,   nikodemus,  openshift,      master,         bldr1cuomokdmst1,    br0,   52:54:00:9B:65:1D,   192.168.1.78,   24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
30, boulder,   nikodemus,  openshift,      master,         bldr1cuomokdmst2,    br0,   52:54:00:9B:65:1E,   192.168.1.79,   24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
31, boulder,   nikodemus,  openshift,      master,         bldr1cuomokdmst3,    br0,   52:54:00:9B:65:1F,   192.168.1.80,   24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
32, boulder,   nikodemus,  openshift,      service,        bldr1cuomokdsvc1,    br0,   52:54:00:9B:65:20,   192.168.1.81,   24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
33, boulder,   nikodemus,  openshift,      worker,         bldr1cuomokdwrk1,    br0,   52:54:00:9B:65:21,   192.168.1.82,   24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
34, boulder,   nikodemus,  openshift,      worker,         bldr1cuomokdwrk2,    br0,   52:54:00:9B:65:22,   192.168.1.83,   24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
35, boulder,   nikodemus,  openshift,      worker,         bldr1cuomokdwrk3,    br0,   52:54:00:9B:65:23,   192.168.1.84,   24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
36, boulder,   nikodemus,  database,       postgres,       bldr1cuompgrs1,      br0,   52:54:00:9B:65:24,   192.168.1.85,   24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
37, boulder,   nikodemus,  docker,         repo,           bldr1cuomrepo1,      br0,   52:54:00:9B:65:25,   192.168.1.86,   24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
38, boulder,   nikodemus,  openshift,      openshift,      bldr1cuomshift,      br0,   52:54:00:9B:65:26,   192.168.1.87,   24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
39, boulder,   nikodemus,  management,     tools,          bldr1cuomtool11,     br0,   52:54:00:9B:65:27,   192.168.1.88,   24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2

02, cabo,      nikodemus,  services,       haproxy,        cabo1cuomapisvr1,    br0,   52:54:00:9B:66:02,   192.168.1.89,   24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
03, cabo,      nikodemus,  services,       haproxy,        cabo1cuomhap1,       br0,   52:54:00:9B:66:03,   192.168.1.90,   24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
04, cabo,      nikodemus,  elasticstack,   data,           cabo1cuomifed1,      br0,   52:54:00:9B:66:04,   192.168.1.91,   24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
05, cabo,      nikodemus,  elasticstack,   data,           cabo1cuomifed2,      br0,   52:54:00:9B:66:05,   192.168.1.92,   24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
06, cabo,      nikodemus,  elasticstack,   kibana,         cabo1cuomifek1,      br0,   52:54:00:9B:66:06,   192.168.1.93,   24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
07, cabo,      nikodemus,  elasticstack,   logging,        cabo1cuomifel1,      br0,   52:54:00:9B:66:07,   192.168.1.84,   24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
08, cabo,      nikodemus,  elasticstack,   logging,        cabo1cuomifel2,      br0,   52:54:00:9B:66:08,   192.168.1.95,   24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
09, cabo,      nikodemus,  elasticstack,   logging,        cabo1cuomifel3,      br0,   52:54:00:9B:66:09,   192.168.1.96,   24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
10, cabo,      nikodemus,  elasticstack,   master,         cabo1cuomifem1,      br0,   52:54:00:9B:66:0A,   192.168.1.97,   24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
11, cabo,      nikodemus,  elasticstack,   master,         cabo1cuomifem2,      br0,   52:54:00:9B:66:0B,   192.168.1.98,   24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
12, cabo,      nikodemus,  elasticstack,   master,         cabo1cuomifem3,      br0,   52:54:00:9B:66:0C,   192.168.1.99,   24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
13, cabo,      nikodemus,  kubernetes,     worker,         cabo1cuomknode1,     br0,   52:54:00:9B:66:0D,   192.168.1.100,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
14, cabo,      nikodemus,  kubernetes,     worker,         cabo1cuomknode2,     br0,   52:54:00:9B:66:0E,   192.168.1.101,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  2048,  2
15, cabo,      nikodemus,  kubernetes,     worker,         cabo1cuomknode3,     br0,   52:54:00:9B:66:0F,   192.168.1.102,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  2048,  2
16, cabo,      nikodemus,  kubernetes,     master,         cabo1cuomkube1,      br0,   52:54:00:9B:66:10,   192.168.1.113,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
17, cabo,      nikodemus,  kubernetes,     master,         cabo1cuomkube2,      br0,   52:54:00:9B:66:11,   192.168.1.104,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
