03, cabo,      nikodemus,  services,       haproxy,        cabo0cuomhap1,       52:54:00:9B:66:03,   192.168.1.90,   centos8_20g.qcow2,  4096,  2
04, cabo,      nikodemus,  elasticstack,   data,           cabo0cuomifed1,      52:54:00:9B:66:04,   192.168.1.91,   centos8_20g.qcow2,  4096,  2
05, cabo,      nikodemus,  elasticstack,   data,           cabo0cuomifed2,      52:54:00:9B:66:05,   192.168.1.92,   centos8_20g.qcow2,  4096,  2
06, cabo,      nikodemus,  elasticstack,   kibana,         cabo0cuomifek1,      52:54:00:9B:66:06,   192.168.1.93,   centos8_20g.qcow2,  4096,  2
07, cabo,      nikodemus,  elasticstack,   logging,        cabo0cuomifel1,      52:54:00:9B:66:07,   192.168.1.84,   centos8_20g.qcow2,  4096,  2
08, cabo,      nikodemus,  elasticstack,   logging,        cabo0cuomifel2,      52:54:00:9B:66:08,   192.168.1.95,   centos8_20g.qcow2,  4096,  2
09, cabo,      nikodemus,  elasticstack,   logging,        cabo0cuomifel3,      52:54:00:9B:66:09,   192.168.1.96,   centos8_20g.qcow2,  4096,  2
10, cabo,      nikodemus,  elasticstack,   master,         cabo0cuomifem1,      52:54:00:9B:66:0A,   192.168.1.97,   centos8_20g.qcow2,  4096,  2
11, cabo,      nikodemus,  elasticstack,   master,         cabo0cuomifem2,      52:54:00:9B:66:0B,   192.168.1.98,   centos8_20g.qcow2,  4096,  2
12, cabo,      nikodemus,  elasticstack,   master,         cabo0cuomifem3,      52:54:00:9B:66:0C,   192.168.1.99,   centos8_20g.qcow2,  4096,  2
13, cabo,      nikodemus,  kubernetes,     worker,         cabo0cuomknode1,     52:54:00:9B:66:0D,   192.168.1.100,  centos8_20g.qcow2,  4096,  2
14, cabo,      nikodemus,  kubernetes,     worker,         cabo0cuomknode2,     52:54:00:9B:66:0E,   192.168.1.101,  centos8_20g.qcow2,  2048,  2
15, cabo,      nikodemus,  kubernetes,     worker,         cabo0cuomknode3,     52:54:00:9B:66:0F,   192.168.1.102,  centos8_20g.qcow2,  2048,  2
